demo_group,demo_cat,scen_id,demand_scenario,refining_scenario,product_scenario,title,ghg_perc_diff,metric,segment,unit_desc,metric_desc,seg_title,scenario,demand_title,scen_title,demo_grp_metric,cuf_05,cuf_06,cuf_07,diff_06_minus_05,diff_07_minus_06,pct_diff_06_minus_05,pct_diff_07_minus_06,has_differences
aialnative,Race,BAU historical exports,BAU,historical exports,"",American Indian or Alaska Native,-0.168394679004793,sum_cost_2019_pv,health,USD (2019 VSL),avoided_health_cost,Health: avoided mortality,BAU demand - historical exports,BAU demand,"BAU demand
Historical exports",aialnative_sum_cost_2019_pv,175.231578221974,175.231578221974,174.145440728688,0,-1.086137493286,0,-0.619829772867846,non_zero
aialnative,Race,BAU historical exports,BAU,historical exports,"",American Indian or Alaska Native,-0.168394679004793,sum_cost_pv,health,USD (annual VSL),avoided_health_cost,Health: avoided mortality,BAU demand - historical exports,BAU demand,"BAU demand
Historical exports",aialnative_sum_cost_pv,191.837202148069,191.837202148069,190.633868863701,0,-1.203333284368,0,-0.627267949539428,non_zero
aialnative,Race,BAU historical exports,BAU,historical exports,2020 prices,American Indian or Alaska Native,-0.168394679004793,forgone_wages_h,labor,USD,forgone_wages,Labor: forgone compensation (direct impact only),BAU demand - historical exports,BAU demand,"BAU demand
Historical exports",aialnative_forgone_wages_h,-52.1203844135804,-52.1203844135804,-53.2379018253494,0,-1.11751741176899,0,-2.1441081533501,non_zero
aialnative,Race,BAU historical exports,BAU,historical exports,2020 prices,American Indian or Alaska Native,-0.168394679004793,forgone_wages_l,labor,USD,forgone_wages,Labor: forgone compensation (direct impact only),BAU demand - historical exports,BAU demand,"BAU demand
Historical exports",aialnative_forgone_wages_l,-3.86740425907943,-3.86740425907943,-3.58034380716574,0,0.28706045191369,0,7.42256130167317,non_zero
aialnative,Race,BAU historical exports,BAU,historical exports,changing prices,American Indian or Alaska Native,-0.168394679004793,forgone_wages_h,labor,USD,forgone_wages,Labor: forgone compensation (direct impact only),BAU demand - historical exports,BAU demand,"BAU demand
Historical exports",aialnative_forgone_wages_h,-67.0255902213837,-67.0255902213837,-68.5323687278872,0,-1.50677850650351,0,-2.24806451017687,non_zero
aialnative,Race,BAU historical exports,BAU,historical exports,changing prices,American Indian or Alaska Native,-0.168394679004793,forgone_wages_l,labor,USD,forgone_wages,Labor: forgone compensation (direct impact only),BAU demand - historical exports,BAU demand,"BAU demand
Historical exports",aialnative_forgone_wages_l,-5.46430038761241,-5.46430038761241,-5.09583058717668,0,0.36846980043573,0,6.74322007024088,non_zero
aialnative,Race,BAU historical production,BAU,historical production,"",American Indian or Alaska Native,0.00549319314029759,sum_cost_2019_pv,health,USD (2019 VSL),avoided_health_cost,Health: avoided mortality,BAU demand - historical production,BAU demand,"BAU demand
Historical production",aialnative_sum_cost_2019_pv,0,0,0,0,0,,,zero
aialnative,Race,BAU historical production,BAU,historical production,"",American Indian or Alaska Native,0.00549319314029759,sum_cost_pv,health,USD (annual VSL),avoided_health_cost,Health: avoided mortality,BAU demand - historical production,BAU demand,"BAU demand
Historical production",aialnative_sum_cost_pv,0,0,0,0,0,,,zero
aialnative,Race,BAU historical production,BAU,historical production,2020 prices,American Indian or Alaska Native,0.00549319314029759,forgone_wages_h,labor,USD,forgone_wages,Labor: forgone compensation (direct impact only),BAU demand - historical production,BAU demand,"BAU demand
Historical production",aialnative_forgone_wages_h,0,0,0,0,0,,,zero
aialnative,Race,BAU historical production,BAU,historical production,2020 prices,American Indian or Alaska Native,0.00549319314029759,forgone_wages_l,labor,USD,forgone_wages,Labor: forgone compensation (direct impact only),BAU demand - historical production,BAU demand,"BAU demand
Historical production",aialnative_forgone_wages_l,0,0,0,0,0,,,zero
